item_code,name,units,mrp,cost,stock
100060905.0,Duracell Coin Cell Battery 1.5V Lr44,PCS,5.0,0.0,0.0
100060908.0,Duracell Ultra Lithium Battery 3V El123,PCS,13.0,0.0,0.0
100060909.0,Duracell Ultra Lithium Battery 3V Cr2,PCS,15.0,0.0,1.0
100063309.0,Panasonic Lithium Battery 3V Cr2032,PCS,5.0,0.0,0.0
100083293.0,Duracell Plus Power Aa Battery 6`S 1.5V,PCS,23.0,0.0,0.0
100083294.0,Duracell Plus Power Aa Battery 8`S 1.5V,PCS,27.0,0.0,0.0
100083295.0,Duracell Plus Power Aaa Battery 6`S 1.5V,PCS,26.0,0.0,0.0
100083296.0,Duracell Plus Power Aaa Battery 8`S 1.5V,PCS,27.0,0.0,0.0
100083297.0,Duracell Ultra Power Aaa Battery 8`S 1.5,PCS,33.0,0.0,0.0
100106986.0,Tianqiu Lithium Battery Cr2025,PCS,5.0,0.0,27.0
100108214.0,Pairdeer Cr2032 3V Lithium Battery,PCS,3.0,0.0,0.0
100112606.0,Kodak Max Lithium Batteries 3V Cr2032,PCS,3.0,0.0,32.0
100112607.0,Energizer Lithium Battery 3V Cr2032,PCS,3.5,0.0,6.0
100128316.0,Kodak Max Lithium Batteries 3V Cr2025,PCS,2.5,0.0,33.0
100130328.0,Nicome Lithium Battery Cr2032,PCS,3.0,0.0,1.0
100188093.0,Sully Lithium Batteris 3V Cr2032,PCS,2.5,0.0,30.0
100002576.0,Energizer Aa 4Pcs Reach. Battery,PCS,72.0,0.0,0.0
100002577.0,Energizer Aaa Battery Charger Mini,PCS,45.0,0.0,0.0
100002578.0,Energizer Aa Battery Charger Compact+4Pc,PCS,89.25,0.0,0.0
100002579.0,Energizer Aa Battery Charger Compact+2Pc,PCS,73.5,0.0,0.0
100002580.0,Energizer Aaa 4Pcs Reach. Battery,PCS,58.0,0.0,0.0
100015070.0,Energizer Aaa 2Pcs Reach. Battery,PCS,42.95,0.0,5.0
100015147.0,Energizer Aa 2Pcs Reach. Battery,PCS,42.0,0.0,0.0
100015149.0,Energizer 9V Recharge Battery-1213F,PCS,58.95,0.0,6.0
100015159.0,Eveready 9V Battery,PCS,6.99,0.0,5.0
100015160.0,Energizer Max 9V Battery,PCS,14.0,0.0,0.0
100025957.0,Energizer Max 9V Battery 2`S,PCS,29.0,0.0,0.0
100026047.0,Allight Charger Expert A612,PCS,26.25,0.0,0.0
100072496.0,Energizer Rechargeable Battery Aa 2`S 20,PCS,52.0,0.0,3.0
100072497.0,Energizer Rechargeable Battery Aaa 2`S 2,PCS,40.95,0.0,0.0
100136466.0,Varta Longlife Aa-2 Battery,PCS,6.3,0.0,0.0
100136467.0,Varta Longlife Aaa-2 Battery,PCS,6.5,0.0,6.0
100002433.0,Casio Calculator-Dj 220D,PCS,52.5,0.0,0.0
100002434.0,Casio Calculator-Mj 120D,PCS,31.5,0.0,0.0
100010670.0,Casio Calculator-Ds-1Ts,PCS,89.25,0.0,0.0
100010671.0,Casio Calculator-Dj 120D,PCS,43.05,0.0,0.0
100010673.0,Casio Calculator-Jj 120D,PCS,37.8,0.0,0.0
100014830.0,Casio Calculator-Dj 240D,PCS,54.6,0.0,0.0
100014831.0,Casio Calculator-Hl 815L Bk,PCS,14.7,0.0,0.0
100015680.0,Casio Calculator-Lc 160Lv,PCS,10.0,0.0,0.0
100015681.0,Casio Calculator-Mz 12S,PCS,26.25,0.0,0.0
100016676.0,Casio Calculator-Hl 815L We,PCS,15.0,0.0,0.0
100016677.0,Casio Calculator Hl 4A,PCS,9.95,0.0,1.0
100018001.0,Casio Calculator Lc-403Tv,PCS,17.85,0.0,0.0
100018002.0,Casio Calculator-Mj 100D,PCS,29.4,0.0,0.0
100025855.0,Kadio Electronic Calculator Kd3078,PCS,5.25,0.0,0.0
100026052.0,Casio Calculator Mw 5V Bk W,PCS,18.9,0.0,0.0
100026053.0,Casio Calculator Sx 320P W,PCS,23.1,0.0,0.0
100026058.0,Kenko Calculator Kk 568A,PCS,4.2,0.0,0.0
100026059.0,Kenko Calculator Kk 88Ms 1,PCS,10.5,0.0,0.0
100026060.0,Kenko Calculator Kk 105B,PCS,10.5,0.0,0.0
100028677.0,Casio Calculator Mw 5V,PCS,16.8,0.0,0.0
100028692.0,Casio Calculator Hl 820Lv,PCS,14.7,0.0,0.0
100030953.0,Casio Calculator Hs 8Lv,PCS,21.0,0.0,0.0
100032888.0,Casio Calculator Mx 120B,PCS,30.0,0.0,0.0
100034828.0,Casio Calculator Mx 8B,PCS,20.0,0.0,0.0
100040357.0,Casio Calculator-Dj 240D Plus,PCS,62.0,0.0,0.0
100041291.0,Casio Calculator Mj 120D Plus,PCS,38.0,0.0,0.0
100048047.0,Casio Calculator Mj100D Plus,PCS,36.0,0.0,0.0
100048387.0,Casio Calculator Mx12B-Bk,PCS,30.0,0.0,0.0
100049886.0,Casio Calculator Dj220D Plus,PCS,58.0,0.0,0.0
100051092.0,Casio Calculator Heavy Ds-1B,PCS,98.0,0.0,0.0
100051378.0,Casio Calculator Sx300,PCS,19.5,0.0,0.0
100051861.0,Casio Calculator Dj 120D Plus,PCS,48.0,0.0,0.0
100057218.0,Casio Calculator Ms8B,PCS,26.25,0.0,0.0
100066977.0,Casio Calculator Fx85Ms,PCS,39.0,0.0,2.0
100085797.0,Kenko Calculator Kk1200,PCS,18.0,0.0,0.0
100085798.0,Kenko Calculator Ct500,PCS,12.0,0.0,0.0
100087736.0,Casio Calculator Fx95Ms,PCS,39.0,0.0,1.0
100121613.0,Dexin Calculator 12 Digits K-837,PCS,13.0,0.0,0.0
100121615.0,Citezhn Calculator Small Ct-210N,PCS,3.95,0.0,1.0
100130807.0,Citezhn Calculator Ct-5012,PCS,6.95,0.0,0.0
100130808.0,Kenko Calculator Kk-3182A,PCS,8.4,0.0,0.0
100131328.0,Casio Calculator Hl100Lb,PCS,20.0,0.0,0.0
100156283.0,Epsilon Digital Calculator Epscl165,PCS,12.0,0.0,0.0
100156284.0,Epsilon Digital Calculator Epscl166,PCS,16.0,0.0,0.0
